universe,self_only,ctype,k,sigma,seed,clean_IC,clean_RankIC,dP
csi300,True,gaussian,0.1,2.0,0,-0.008902013445233658,-0.00217631494790933,0.0
csi300,True,gaussian,0.1,2.0,1,-0.00951056294126767,-0.0017274510903592594,0.0
csi300,True,gaussian,0.1,2.0,2,-0.008927692073295355,-0.001153804640572555,0.0
csi300,True,gaussian,0.1,2.0,3,-0.013516432145050203,-0.004507789688221241,0.0
csi300,True,gaussian,0.1,2.0,4,-0.010616742458774373,-0.002411274377608077,0.0
csi300,True,gaussian,0.2,2.0,0,-0.009005334889176004,-0.0012433430058436865,0.0
csi300,True,gaussian,0.2,2.0,1,-0.010814526376818541,-0.004388137964944015,0.0
csi300,True,gaussian,0.2,2.0,2,-0.009500541134452539,-0.0013932206099837592,0.0
csi300,True,gaussian,0.2,2.0,3,-0.01452625670609563,-0.004786929991377926,0.0
csi300,True,gaussian,0.2,2.0,4,-0.011498186974202277,-0.002855203956576923,0.0
csi300,True,gaussian,0.4,2.0,0,-0.01359080065911497,-0.006267448154187862,0.0
csi300,True,gaussian,0.4,2.0,1,-0.011062760534452343,-0.0062544178564928245,0.0
csi300,True,gaussian,0.4,2.0,2,-0.008592724951064664,-8.840757559641562e-06,0.0
csi300,True,gaussian,0.4,2.0,3,-0.012865460494566891,-0.00359231544830029,0.0
csi300,True,gaussian,0.4,2.0,4,-0.01060090253120226,-0.003916064146774931,0.0
csi300,True,missing,0.0,2.0,0,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,missing,0.0,2.0,1,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,missing,0.0,2.0,2,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,missing,0.0,2.0,3,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,missing,0.0,2.0,4,-0.011409175548460678,-0.003541363749586211,0.0
csi300,True,missing,0.05,2.0,0,-0.010739066168513443,-0.0033119940315088224,0.0
csi300,True,missing,0.05,2.0,1,-0.009630212559951926,-0.0021147683640510306,0.0
csi300,True,missing,0.05,2.0,2,-0.010511969111059876,-0.002678475932063833,0.0
csi300,True,missing,0.05,2.0,3,-0.012206538349629566,-0.0037077149719111045,0.0
csi300,True,missing,0.05,2.0,4,-0.011049761932783318,-0.003131624834460042,0.0
csi300,True,missing,0.1,2.0,0,-0.008902013445233658,-0.00217631494790933,0.0
csi300,True,missing,0.1,2.0,1,-0.00951056294126767,-0.0017274510903592594,0.0
csi300,True,missing,0.1,2.0,2,-0.008927692073295355,-0.001153804640572555,0.0
csi300,True,missing,0.1,2.0,3,-0.013516432145050203,-0.004507789688221241,0.0
csi300,True,missing,0.1,2.0,4,-0.010616742458774373,-0.002411274377608077,0.0
csi300,True,missing,0.2,2.0,0,-0.009005334889176004,-0.0012433430058436865,0.0
csi300,True,missing,0.2,2.0,1,-0.010814526376818541,-0.004388137964944015,0.0
csi300,True,missing,0.2,2.0,2,-0.009500541134452539,-0.0013932206099837592,0.0
csi300,True,missing,0.2,2.0,3,-0.01452625670609563,-0.004786929991377926,0.0
csi300,True,missing,0.2,2.0,4,-0.011498186974202277,-0.002855203956576923,0.0
csi300,True,missing,0.4,2.0,0,-0.01359080065911497,-0.006267448154187862,0.0
csi300,True,missing,0.4,2.0,1,-0.011062760534452343,-0.0062544178564928245,0.0
